breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,id,x,y
name,Kobe Bryant,PTS,1.0,0.0384780429999999,Top1,Point,0.0384780429999999,57,182479,*,*,Los Angeles Lakers,*,NBA,*,564,-56.00839,-49.375072
year,1955,PTS,1.0,0.0384780429999999,Change Point,Shape,0.0384780429999999,121,182479,*,*,Los Angeles Lakers,*,NBA,*,565,-7.1459126,-7.5621643
year,1972,PTS,0.922463153,0.0384780429999999,Outlier,Shape,0.035494577,152,182479,*,*,Los Angeles Lakers,*,NBA,*,566,-7.145937,-7.5621443
year,1961,AST,1.0,0.0384780429999999,Change Point,Shape,0.0384780429999999,421,182479,*,*,Los Angeles Lakers,*,NBA,*,567,-3.364564,43.90445
year,1985,AST,0.976634434,0.0384780429999999,Outlier,Shape,0.037578982,456,182479,*,*,Los Angeles Lakers,*,NBA,*,568,-3.3642876,43.9023
name,Kobe Bryant,PTS,1.0,0.039097888,Top1,Point,0.039097888,74,25260,*,*,Los Angeles Lakers,*,*,*,615,-16.117512,23.748983
year,1955,PTS,1.0,0.039097888,Change Point,Shape,0.039097888,108,25260,*,*,Los Angeles Lakers,*,*,*,616,-24.258123,-22.06295
year,1972,PTS,0.920686803,0.039097888,Outlier,Shape,0.035996909,154,25260,*,*,Los Angeles Lakers,*,*,*,617,-24.25907,-22.061575
lg_name,NBA,PTS,0.949080472,0.039097888,Attribution,Point,0.037107042,221,25260,*,*,Los Angeles Lakers,*,*,*,618,-16.108881,23.748316
year,1961,AST,1.0,0.039097888,Change Point,Shape,0.039097888,408,25260,*,*,Los Angeles Lakers,*,*,*,619,50.206055,40.22184
year,1985,AST,0.976148515,0.039097888,Outlier,Shape,0.038165345,470,25260,*,*,Los Angeles Lakers,*,*,*,620,50.205082,40.22359
lg_name,NBA,AST,0.949108562,0.039097888,Attribution,Point,0.03710814,520,25260,*,*,Los Angeles Lakers,*,*,*,621,-29.665613,-42.97469
